sbscrbr,Paid_Date
3251512455,09/08/2019
3334278462,09/07/2019
3064227998,09/06/2019
3958130073,09/05/2019
8767131274,09/04/2019
9402216548,09/03/2019
2189432489,09/02/2019
9335999382,09/01/2019
3626464491,8/31/2019
7993099377,8/30/2019
4192113367,8/29/2019
3622431060,8/28/2019
7897179223,8/27/2019
1524393998,8/26/2019
4725573038,8/25/2019
5512414015,8/24/2019
5009441539,8/23/2019
3491279968,8/22/2019
2839670088,8/21/2019
7873394907,8/20/2019
5732715268,8/19/2019
6672758308,8/18/2019
6847542496,8/17/2019
2894593727,8/16/2019
7629604316,8/15/2019
6297212659,8/14/2019
1978083745,8/13/2019
5254884706,08/12/2019
7822325845,08/11/2019
9946764088,08/10/2019
3219093870,08/09/2019
5223018505,08/08/2019
2042112668,08/07/2019
4092921252,08/06/2019
4761720234,08/05/2019
6595243752,08/04/2019
3748770415,08/03/2019
2055845117,08/02/2019
1238903114,08/01/2019
4781124958,7/31/2019
7646518185,7/30/2019
3103329651,7/29/2019
3609298220,9/18/2019
4664861936,9/16/2019
9056785444,9/14/2019
8523333015,09/12/2019
6906575365,09/10/2019
8575501630,09/08/2019
9711510733,09/06/2019
5741563586,09/04/2019
3931471148,09/02/2019
6857849582,8/31/2019
5121765654,8/29/2019
5607296981,8/27/2019
7618598133,8/25/2019
7212084191,8/23/2019
5093615854,8/21/2019
3496329273,8/19/2019
8267988821,8/17/2019
5715734777,8/24/2019
6388721811,8/22/2019
5156125637,8/20/2019
5602888902,8/18/2019
2986283801,8/25/2019
2199140682,8/23/2019
4412896678,8/21/2019
3005571130,8/19/2019
7053507006,8/26/2019
1732454824,8/24/2019
6436072347,8/22/2019
3289803541,8/20/2019
4182984575,8/27/2019
9195835434,8/25/2019
7749233895,8/23/2019
6362734544,8/21/2019
8483947225,8/28/2019
2066877388,8/26/2019
4642383071,8/24/2019
2308739440,8/22/2019
2024579517,8/29/2019
8143187195,8/27/2019
2473292591,8/25/2019
1549361348,8/23/2019
2704853972,8/30/2019
5817725294,8/28/2019
1791213980,8/26/2019
3074800473,8/24/2019
1986498129,8/31/2019
2288523354,8/29/2019
2936982989,8/27/2019
2092672995,8/25/2019
5907472554,09/01/2019
9766178765,8/30/2019
5302194416,8/28/2019
9402733567,8/26/2019
6048098096,09/02/2019
1468225736,8/31/2019
9389635534,8/29/2019
6288976872,8/27/2019
6594009237,09/03/2019
8725928890,09/01/2019
6972967007,8/30/2019
9221966029,8/28/2019
3429382805,09/04/2019
3314479075,09/02/2019
7844155205,8/31/2019
6433129271,8/29/2019
6521574108,09/05/2019
8636522622,09/03/2019
2889695868,09/01/2019
7406914151,8/30/2019
7269657591,09/06/2019
1682303531,09/04/2019
1994698128,09/02/2019
5028321473,8/31/2019
2599732255,09/07/2019
1639292263,09/05/2019
9484370250,09/03/2019
2102854566,09/01/2019
9932724499,09/08/2019
8205704840,09/06/2019
3514087743,09/04/2019
6521326024,09/02/2019
5898989537,09/09/2019
3035430636,09/07/2019
5576916846,09/05/2019
6329379901,09/03/2019
1819463352,09/10/2019
4046579391,09/08/2019
7965424737,09/06/2019
5565430985,09/04/2019
1665654309,09/11/2019
5338294907,09/09/2019
2567576443,09/07/2019
1581733124,09/05/2019
6862230002,09/12/2019
2753977097,09/11/2019
9126293394,09/10/2019
8329006166,09/09/2019
5907212083,09/08/2019
8711639690,09/07/2019
6802297835,09/06/2019
4239556544,09/05/2019
8154539790,09/04/2019
5701351611,09/03/2019
7611414861,09/02/2019
5344419122,09/01/2019
1009249344,8/31/2019
2893042736,8/30/2019
2248067649,8/29/2019
9629831570,8/28/2019
5478546984,8/27/2019
5702188526,8/26/2019
8627597229,8/25/2019
4308461721,8/24/2019
4594833832,8/23/2019
5968183775,8/22/2019
8117764607,8/21/2019
5781909455,8/20/2019
8662181319,8/19/2019
1051125036,8/18/2019
6586636222,8/17/2019
4842015640,8/16/2019
8673799338,8/15/2019
3986240876,8/14/2019
8765519122,8/13/2019
5981410385,08/12/2019
5113948188,08/11/2019
2721821789,08/10/2019
7839973003,08/09/2019
4362587329,08/08/2019
5984913510,08/07/2019
6242176255,08/06/2019
8651922540,08/05/2019
8978162311,08/04/2019
8753027828,08/03/2019
2335692914,08/02/2019
7086461533,08/01/2019
1114398583,7/31/2019
7146727061,7/30/2019
6961085497,7/29/2019
4964553900,9/18/2019
6178193255,9/16/2019
1707475053,9/14/2019
3042970618,09/12/2019
7038303787,09/10/2019
2128152763,09/08/2019
4631826594,09/06/2019
1155918693,09/04/2019
5873743591,09/02/2019
2006396085,8/31/2019
1721465184,8/29/2019
3354621516,8/27/2019
5537093904,8/25/2019
6471139357,8/23/2019
7779802401,8/21/2019
5715932417,8/19/2019
5405096882,8/17/2019
6104370843,8/24/2019
5432301313,8/22/2019
2728621627,8/20/2019
2554109230,8/18/2019
5772499117,8/25/2019
7118755484,8/23/2019
3939575940,8/21/2019
6101500067,8/19/2019
3837582728,8/26/2019
6576632015,8/24/2019
9949688587,8/22/2019
1508989273,8/20/2019
1349541686,8/27/2019
2019579922,8/25/2019
8007860379,8/23/2019
4555986897,8/21/2019
3993692412,8/28/2019
1934020804,8/26/2019
8644107523,8/24/2019
5611436861,8/22/2019
4008618105,8/29/2019
3239123425,8/27/2019
5337577270,8/25/2019
8599476260,8/23/2019
6031586580,8/30/2019
4275598609,8/28/2019
7777646852,8/26/2019
6571148313,8/24/2019
5254083319,8/31/2019
4439943686,8/29/2019
7228168306,8/27/2019
7796799880,8/25/2019
5548901755,09/01/2019
8128124432,8/30/2019
7492255064,8/28/2019
5186251036,8/26/2019
2642946516,09/02/2019
2054104678,8/31/2019
8467961532,8/29/2019
8081203947,8/27/2019
4688697501,09/03/2019
3871570151,09/01/2019
7874437075,8/30/2019
3812005315,8/28/2019
7971209676,09/04/2019
9031149747,09/02/2019
1989862850,8/31/2019
1597339298,8/29/2019
2347798298,09/05/2019
8111565344,09/03/2019
5531456195,09/01/2019
3823237822,8/30/2019
5137587038,09/06/2019
6702190755,09/04/2019
9379416460,09/02/2019
2628828987,8/31/2019
2207887410,09/07/2019
8628830510,09/05/2019
8139327840,09/03/2019
6741748355,09/01/2019
5528229968,09/08/2019
5245748998,09/06/2019
9505125624,09/04/2019
7865544557,09/02/2019
3052338695,09/09/2019
8112755051,09/07/2019
1123297125,09/05/2019
2048353928,09/03/2019
1232963885,09/10/2019
8236765289,09/08/2019
2877695770,09/06/2019
8967575093,09/04/2019
9873276137,09/11/2019
4993738169,09/09/2019
2348154486,09/07/2019
3574701509,09/05/2019
4478376348,09/12/2019
2781206461,09/11/2019
9312848439,09/10/2019
7789338963,09/09/2019
5973124654,09/08/2019
5829283864,09/07/2019
4419928368,09/06/2019
2793232131,09/05/2019
5933017373,09/04/2019
7215239021,09/03/2019
3002297290,09/02/2019
8625737990,09/01/2019
2877103236,8/31/2019
4096383243,8/30/2019
1756955891,8/29/2019
5043194610,8/28/2019
3131897804,8/27/2019
7202414755,8/26/2019
7584233517,8/25/2019
3049691700,8/24/2019
5022381119,8/23/2019
1732845500,8/22/2019
8101183309,8/21/2019
9049966109,8/20/2019
9285421447,8/19/2019
9058159395,8/18/2019
6281940576,8/17/2019
5936246408,8/16/2019
3811216447,8/15/2019
8686917250,8/14/2019
4611041941,8/13/2019
5278880809,08/12/2019
9318343272,08/11/2019
8617702958,08/10/2019
1443490909,08/09/2019
4293735036,08/08/2019
7424027291,08/07/2019
9988569451,08/06/2019
8936112977,08/05/2019
1268201201,08/04/2019
7364369171,08/03/2019
1768566411,08/02/2019
6841797564,08/01/2019
4819983008,7/31/2019
1643848762,7/30/2019
4506435280,7/29/2019
1609928122,9/18/2019
6539917258,9/16/2019
3304104948,9/14/2019
5375549286,09/12/2019
2617601056,09/10/2019
1647962937,09/08/2019
4842002562,09/06/2019
5211560396,09/04/2019
1009684777,09/02/2019
6611295706,8/31/2019
8894008743,8/29/2019
8946939167,8/27/2019
5131439762,8/25/2019
6287897180,8/23/2019
7507766329,8/21/2019
9495402527,8/19/2019
3709211383,8/17/2019
3184828913,8/24/2019
4703687839,8/22/2019
1682740800,8/20/2019
4143933476,8/18/2019
2482009470,8/25/2019
1435586695,8/23/2019
5085504834,8/21/2019
8531781198,8/19/2019
5467751739,8/26/2019
5231859287,8/24/2019
8195094291,8/22/2019
2388270504,8/20/2019
5034361480,8/27/2019
1466154600,8/25/2019
2978742660,8/23/2019
6479472587,8/21/2019
